frame.number,frame.time_epoch,frame.time_relative,frame.time_delta,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.window_size_value,tcp.checksum,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,mqtt_present,mqtt_ctrl_type,mqtt_ctrl_name,mqtt_flags,mqtt_remaining_len,mqtt_qos,mqtt_keepalive,mqtt_payload_size
1,1758447744.083881,0.0,,79,79,,,127.0.0.1,127.0.0.1,6,1883,59666,24,35,255,54839,,,,True,3.0,PUBLISH,0.0,33.0,0.0,,33.0
3,1758447744.084238,0.0003571510314941406,0.0001800060272216797,91,91,,,127.0.0.1,127.0.0.1,6,1883,59666,24,47,255,51349,,,0.0001800060272216797,True,3.0,PUBLISH,0.0,45.0,0.0,,45.0
5,1758447744.084439,0.0005581378936767578,0.0001239776611328125,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,31501,,,0.0001239776611328125,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
7,1758447744.084586,0.0007050037384033203,8.702278137207031e-05,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,63692,,,8.702278137207031e-05,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
9,1758447744.084726,0.0008451938629150391,8.702278137207031e-05,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,55099,,,8.702278137207031e-05,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
11,1758447744.084857,0.0009760856628417969,8.20159912109375e-05,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,25508,,,8.20159912109375e-05,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
13,1758447744.084999,0.0011181831359863281,8.702278137207031e-05,91,91,,,127.0.0.1,127.0.0.1,6,1883,59666,24,47,255,50355,,,8.702278137207031e-05,True,3.0,PUBLISH,0.0,45.0,0.0,,45.0
15,1758447744.085214,0.001332998275756836,0.00013899803161621094,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,32562,,,0.00013899803161621094,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
17,1758447744.085375,0.0014941692352294922,9.298324584960938e-05,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,64750,,,9.298324584960938e-05,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
19,1758447744.08552,0.0016391277313232422,8.702278137207031e-05,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,52579,,,8.702278137207031e-05,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
21,1758447744.08566,0.0017790794372558594,8.487701416015625e-05,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,28098,,,8.487701416015625e-05,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
23,1758447744.085805,0.0019240379333496094,8.988380432128906e-05,92,92,,,127.0.0.1,127.0.0.1,6,1883,59666,24,48,255,64106,,,8.988380432128906e-05,True,3.0,PUBLISH,0.0,46.0,0.0,,46.0
25,1758447744.085944,0.0020630359649658203,8.58306884765625e-05,89,89,,,127.0.0.1,127.0.0.1,6,1883,59666,24,45,255,38406,,,8.58306884765625e-05,True,3.0,PUBLISH,0.0,43.0,0.0,,43.0
27,1758447744.086104,0.0022230148315429688,8.797645568847656e-05,89,89,,,127.0.0.1,127.0.0.1,6,1883,59666,24,45,255,27366,,,8.797645568847656e-05,True,3.0,PUBLISH,0.0,43.0,0.0,,43.0
29,1758447744.086247,0.0023660659790039062,8.893013000488281e-05,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,63561,,,8.893013000488281e-05,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
31,1758447744.086391,0.00251007080078125,8.606910705566406e-05,78,78,,,127.0.0.1,127.0.0.1,6,1883,59666,24,34,255,27515,,,8.606910705566406e-05,True,3.0,PUBLISH,0.0,32.0,0.0,,32.0
33,1758447744.086528,0.0026471614837646484,8.20159912109375e-05,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,51637,,,8.20159912109375e-05,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
35,1758447744.086663,0.002782106399536133,8.106231689453125e-05,76,76,,,127.0.0.1,127.0.0.1,6,1883,59666,24,32,255,48088,,,8.106231689453125e-05,True,3.0,PUBLISH,0.0,30.0,0.0,,30.0
37,1758447744.086797,0.002916097640991211,8.106231689453125e-05,83,83,,,127.0.0.1,127.0.0.1,6,1883,59666,24,39,255,6744,,,8.106231689453125e-05,True,3.0,PUBLISH,0.0,37.0,0.0,,37.0
39,1758447755.034136,10.950255155563354,10.947268009185791,79,79,,,127.0.0.1,127.0.0.1,6,1883,59666,24,35,255,53779,,,10.947268009185791,True,3.0,PUBLISH,0.0,33.0,0.0,,33.0
41,1758447755.034705,10.95082402229309,0.00029397010803222656,91,91,,,127.0.0.1,127.0.0.1,6,1883,59666,24,47,255,51059,,,0.00029397010803222656,True,3.0,PUBLISH,0.0,45.0,0.0,,45.0
43,1758447755.034984,10.951103210449219,0.00016117095947265625,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,31216,,,0.00016117095947265625,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
45,1758447755.035192,10.951311111450195,0.00013208389282226562,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,64170,,,0.00013208389282226562,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
47,1758447755.0354,10.951519012451172,0.0001289844512939453,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,54812,,,0.0001289844512939453,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
49,1758447755.035658,10.95177698135376,0.00013589859008789062,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,25468,,,0.00013589859008789062,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
